Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),BaseMatcher,Method
knowledgegraph,Paris_AllPairs_StarTwoMintrue,ALL,0.833259037876662,0.836900711894876,0.5214503343138472,0.835075904669849,0.8618756371049949,0.8807865095383814,0.5757575757575758,0.8712284656255033,13528,2223,2168,1831,49348,13371988169715,03:42:51,Paris,AllPairs
knowledgegraph,Paris_AllPairs_StarTwoMintrue,CLASSES,0.05,0.013333333333333332,0.0,0.021052631578947364,0.2,0.02040816326530612,0.0,0.03703703703703703,1,0,4,48,15,-,-,Paris,AllPairs
knowledgegraph,Paris_AllPairs_StarTwoMintrue,PROPERTIES,0.8712975912975912,0.6120350105485863,0.6120350105485863,0.7190088451060404,0.905511811023622,0.6353591160220995,0.6353591160220995,0.7467532467532468,115,115,12,66,308,-,-,Paris,AllPairs
knowledgegraph,Paris_AllPairs_StarTwoMintrue,INSTANCES,0.8371411498000461,0.8429742396519453,0.49751853608595775,0.8400475689520656,0.8645652033778122,0.886509352898407,0.5761136922656463,0.8753997780823706,13412,2108,2101,1717,49025,-,-,Paris,AllPairs
knowledgegraph,AML_AllPairs_StarTwoMintrue,ALL,0.8986806071762841,0.7930294082271886,0.41772028129032773,0.8425559269675246,0.9052825901732462,0.8301321700631552,0.4651644651644652,0.8660802228033828,12750,1796,1334,2609,24888,36038601412170,10:00:38,AML,AllPairs
knowledgegraph,AML_AllPairs_StarTwoMintrue,CLASSES,0.9818181818181818,0.8146520146520148,0.35333333333333333,0.8904574775709944,0.9743589743589743,0.7755102040816326,0.47619047619047616,0.8636363636363635,38,10,1,11,118,-,-,AML,AllPairs
knowledgegraph,AML_AllPairs_StarTwoMintrue,PROPERTIES,0.8563061617458281,0.5661826668499471,0.5661826668499471,0.6816583674346265,0.8623188405797102,0.6574585635359116,0.6574585635359116,0.7460815047021944,119,119,19,62,243,-,-,AML,AllPairs
knowledgegraph,AML_AllPairs_StarTwoMintrue,INSTANCES,0.8984386402295741,0.7975223988498275,0.3937224010413209,0.8449780661992209,0.9055152081685482,0.8323749091149448,0.455588958731894,0.8674059787849566,12593,1667,1314,2536,24527,-,-,AML,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMinfalse,ALL,0.8926047856067768,0.8041922114025514,0.5117077340563004,0.8460951047306312,0.92871259175607,0.8566963995051761,0.5477855477855478,0.891252074372608,13158,2115,1010,2201,24761,5601981768760,01:33:21,ATBox,AllPairs
knowledgegraph,ATBox_AllPairs_StarOneMinfalse,CLASSES,0.9666666666666668,0.79003663003663,0.2866666666666667,0.869471899022756,0.95,0.7755102040816326,0.47619047619047616,0.8539325842696629,38,10,2,11,128,-,-,ATBox,AllPairs
